date,city,race_no,horse_name,actual_rank,ganyan,model_score,is_winner,momentum_5,combo_win_rate,track_win_rate,quantum_chaos,galop_count,galop_speed,hp,weight
18/01/2026,İzmir,3,TOLPER,1,1.85,0.3730598958661607,1,0.9,1.0,1.0,0.2533333333333334,0,0.0,0,58.0
18/01/2026,İzmir,3,POP ART,2,5.05,0.12233658733180029,0,0.8,0.0,0.0,0.44,0,0.0,0,56.0
18/01/2026,İzmir,3,RING RANG RONG,3,14.05,0.12251466189456578,0,0.7,0.0,0.0,0.26,0,0.0,0,58.0
18/01/2026,İzmir,3,FOOTSTEP,4,3.35,0.10282764767245413,0,0.7333333333333334,0.0,0.0,0.32,0,0.0,0,0.0
18/01/2026,İzmir,3,SKY CHARLIE,5,6.35,0.11269785601198296,0,0.6666666666666666,0.0,0.0,0.2,0,0.0,0,58.0
18/01/2026,İzmir,3,DUBLIN DREAM,6,11.3,0.06755092854764844,0,0.4,0.0,0.0,0.72,0,0.0,0,0.0
18/01/2026,İzmir,3,BAYAN JULIE,7,15.3,0.06697746963629429,0,0.3,0.0,0.0,0.54,0,0.0,0,0.0
18/01/2026,İzmir,3,YOU ARE BIG,8,9.6,0.07771052104326526,0,0.2,0.0,0.0,0.36,0,0.0,0,58.0
18/01/2026,İzmir,3,COME ON BABY,9,14.85,0.053824574093386306,0,0.1,0.0,0.0,0.18,0,0.0,0,0.0
18/01/2026,İzmir,4,CANYAMAN,1,5.7,0.25742561202821296,1,0.76,0.75,0.42857142857142855,0.17300000000000013,0,0.0,39,52.0
18/01/2026,İzmir,4,RÜZGARSU,2,8.65,0.08294211584602436,0,0.5,0.0,0.0,0.9,5,0.0,45,55.0
18/01/2026,İzmir,4,TATARUŞAĞI,3,6.0,0.11275327881843976,0,0.5599999999999999,0.0,0.0,0.00799999999999983,5,0.0,36,0.0
18/01/2026,İzmir,4,KOĞ TEPESİ,4,27.15,0.11326464616455705,0,0.6,0.0,0.0,0.08,0,0.0,38,54.5
18/01/2026,İzmir,4,SERTTAYKUT,5,8.0,0.07401435332649782,0,0.48,0.0,0.0,0.8640000000000001,0,0.0,40,0.0
18/01/2026,İzmir,4,SUADİYE BEYİ,6,2.75,0.17584909000949303,0,0.48,0.2,0.16666666666666666,0.015555555555555428,5,0.0,49,58.0
18/01/2026,İzmir,4,ULU YAŞAR,7,16.05,0.07064612431291738,0,0.3,0.0,0.0,0.54,0,0.0,38,0.0
18/01/2026,İzmir,4,KAPTANPAŞALI,8,6.2,0.08445833299065249,0,0.375,0.0,0.0,0.675,0,0.0,42,56.5
18/01/2026,İzmir,4,DİLBERHATUN,9,18.4,0.1391983869537401,0,0.45999999999999996,0.2,0.14285714285714285,0.9961904761904762,5,0.0,36,0.0
18/01/2026,İzmir,4,BABY ARYA,10,7.75,0.06995590302153849,0,0.32,0.0,0.0,0.5760000000000001,5,0.0,44,57.5
18/01/2026,İzmir,4,TURGUT BEY,11,9.85,0.0846315919163509,0,0.4,0.0,0.0,0.72,0,0.0,38,0.0
18/01/2026,İzmir,4,ANADOLU MUHAFIZI,12,48.5,0.048715449533967135,0,0.08000000000000007,0.0,0.0,0.14400000000000013,0,0.0,34,0.0
18/01/2026,İzmir,4,CÖMERT TAY,13,14.85,0.2586230456963456,0,0.0,0.3333333333333333,0.2,0.24666666666666665,5,0.0,37,0.0
18/01/2026,İzmir,4,CANYAMAN,1,5.7,0.25742561202821296,1,0.76,0.75,0.42857142857142855,0.17300000000000013,0,0.0,39,52.0
18/01/2026,İzmir,4,RÜZGARSU,2,8.65,0.08294211584602436,0,0.5,0.0,0.0,0.9,5,0.0,45,55.0
18/01/2026,İzmir,4,TATARUŞAĞI,3,6.0,0.11275327881843976,0,0.5599999999999999,0.0,0.0,0.00799999999999983,5,0.0,36,0.0
18/01/2026,İzmir,4,KOĞ TEPESİ,4,27.15,0.11326464616455705,0,0.6,0.0,0.0,0.08,0,0.0,38,54.5
18/01/2026,İzmir,4,SERTTAYKUT,5,8.0,0.07401435332649782,0,0.48,0.0,0.0,0.8640000000000001,0,0.0,40,0.0
18/01/2026,İzmir,4,SUADİYE BEYİ,6,2.75,0.17584909000949303,0,0.48,0.2,0.16666666666666666,0.015555555555555428,5,0.0,49,58.0
18/01/2026,İzmir,4,ULU YAŞAR,7,16.05,0.07064612431291738,0,0.3,0.0,0.0,0.54,0,0.0,38,0.0
18/01/2026,İzmir,4,KAPTANPAŞALI,8,6.2,0.08445833299065249,0,0.375,0.0,0.0,0.675,0,0.0,42,56.5
18/01/2026,İzmir,4,DİLBERHATUN,9,18.4,0.1391983869537401,0,0.45999999999999996,0.2,0.14285714285714285,0.9961904761904762,5,0.0,36,0.0
18/01/2026,İzmir,4,BABY ARYA,10,7.75,0.06995590302153849,0,0.32,0.0,0.0,0.5760000000000001,5,0.0,44,57.5
18/01/2026,İzmir,4,TURGUT BEY,11,9.85,0.0846315919163509,0,0.4,0.0,0.0,0.72,0,0.0,38,0.0
